stream,gender,log_quo,read_sk,hsc score,sports_in,sports_ac,arts_in,arts_rel,teach_sk,comm_sk,stage_in,lead,lead_m,chem_in,chem_sk,tech_in,tech_sh,tech_s_s,tech_h_s,bio_in,bio_class,bio_pr,fam_bus,fam_biz,pub_serv,maths_sk,visual,career
arts,female,5,0,155,no,0,no,0,10,1,no,7,10,yes,1,yes,software,0,0,yes,medical,dental,yes,industrial,9,1,3,Marketing Management
arts,other,0,10,277,no,0,yes,literature,0,10,no,3,2,yes,1,yes,software,0,0,no,0,0,yes,enterprise,2,6,8,Business/Industrial Mngmnt.
commerce,other,4,8,78,no,0,no,0,6,9,yes,9,6,yes,4,yes,software,0,0,no,0,0,no,0,7,5,10,Marketing Management
arts,female,4,6,83,yes,2,no,0,6,10,yes,9,7,no,0,yes,software,0,0,yes,nutritionist,pediatrician,yes,construction,5,7,4,Marketing Management
none,other,8,9,460,no,0,no,0,0,1,yes,3,7,yes,9,no,0,0,0,yes,nutritionist,pediatrician,yes,industrial,7,3,5,Chemical Engineering
commerce,female,6,4,342,yes,3,no,0,8,1,yes,5,10,yes,8,yes,hardware,0,0,no,0,0,no,0,7,2,2,Chemical Engineering
arts,female,3,2,263,no,0,no,0,2,1,yes,9,10,yes,10,no,0,0,0,no,0,0,no,0,7,4,4,Marketing Management
commerce,male,2,7,34,no,0,no,0,1,0,yes,3,3,yes,8,no,0,0,0,yes,nutritionist,pediatrician,yes,industrial,1,9,10,Chemical Engineering
arts,male,8,10,460,no,0,no,0,3,4,no,3,7,yes,4,no,0,0,0,no,0,0,no,0,1,4,9,Graphics & Designing
bio,other,1,3,5,yes,3,no,0,1,1,yes,4,1,yes,9,no,0,0,0,no,0,0,yes,construction,7,6,5,Chemical Engineering
maths,female,6,5,366,no,0,no,0,9,10,yes,1,8,yes,2,no,0,0,0,yes,nutritionist,pediatrician,no,0,6,10,7,Teaching
arts,male,4,8,155,yes,3,yes,fineart,5,3,yes,5,2,yes,3,no,0,0,0,yes,nutritionist,dental,yes,agriculture,9,1,3,Medicine and Nutrition
maths,other,10,3,398,yes,2,no,0,6,9,yes,6,8,no,0,yes,hardware,0,0,no,0,0,yes,enterprise,1,8,10,Business/Industrial Mngmnt.
arts,other,1,5,297,yes,3,no,0,4,5,yes,6,8,yes,2,no,0,0,0,yes,nutritionist,veterinary,no,0,3,10,8,Medicine and Nutrition
maths,other,9,8,455,yes,3,no,0,9,5,no,3,4,yes,8,yes,software,0,0,yes,medical,pediatrician,yes,enterprise,6,6,8,Chemical Engineering
arts,female,4,6,226,no,0,yes,theatre,0,4,no,9,9,no,0,yes,software,0,0,yes,medical,orthopaedic,yes,enterprise,3,8,8,Theatre & Tourism
arts,other,4,9,327,no,0,no,0,2,3,no,7,8,no,0,no,0,0,0,yes,nutritionist,veterinary,yes,enterprise,1,4,6,Marketing Management
arts,female,0,7,231,yes,2,yes,literature,4,0,yes,6,2,no,0,yes,software,0,0,no,0,0,yes,industrial,8,9,7,Business/Industrial Mngmnt.
commerce,male,7,0,488,no,0,no,0,7,8,no,3,5,yes,7,no,0,0,0,no,0,0,no,0,9,6,10,Teaching
arts,other,4,9,133,yes,5,no,0,6,6,no,7,9,yes,5,no,0,0,0,no,0,0,yes,enterprise,10,7,8,Sports Science
commerce,other,3,7,300,yes,5,yes,fineart,8,10,no,1,2,yes,5,yes,hardware,0,0,yes,medical,pediatrician,yes,enterprise,7,7,3,Sports Science
maths,other,6,8,419,yes,3,yes,fineart,0,10,no,10,3,no,0,yes,hardware,0,0,no,0,0,no,0,9,3,2,UPSC/GPSC etc.
commerce,male,6,1,455,yes,5,no,0,3,5,no,9,10,yes,5,yes,hardware,0,0,yes,medical,dental,no,0,5,2,9,Sports Science
arts,male,7,2,404,no,0,no,0,0,7,yes,4,2,no,0,no,0,0,0,no,0,0,no,0,2,5,7,Graphics & Designing
maths,other,10,10,394,yes,3,no,0,6,7,no,5,6,no,0,yes,software,0,0,no,0,0,no,0,4,6,5,CA/CS/Banking
none,other,4,3,17,no,0,no,0,0,9,no,6,5,yes,4,no,0,0,0,no,0,0,no,0,7,7,2,UPSC/GPSC etc.
commerce,other,3,3,258,yes,4,no,0,4,6,no,6,5,no,0,yes,hardware,0,0,no,0,0,yes,construction,8,1,1,Sports Science
bio,other,3,5,241,no,0,no,0,1,8,yes,3,5,no,0,yes,hardware,0,0,no,0,0,no,0,4,1,4,ARTS
arts,female,8,1,368,no,0,yes,literature,7,7,yes,6,8,yes,4,no,0,0,0,yes,medical,physician,yes,enterprise,2,6,5,Teaching
commerce,female,10,4,493,no,0,no,0,6,6,no,3,1,yes,7,no,0,0,0,no,0,0,yes,agriculture,5,5,3,Chemical Engineering
bio,female,5,7,130,yes,2,no,0,4,1,yes,5,4,yes,7,no,0,0,0,yes,nutritionist,dental,no,0,7,7,3,Chemical Engineering
maths,other,4,3,234,yes,5,yes,music,9,3,yes,6,8,no,0,no,0,0,0,no,0,0,no,0,9,10,2,Sports Science
commerce,female,7,10,339,yes,4,yes,music,4,10,yes,5,2,no,0,yes,software,0,0,yes,nutritionist,veterinary,no,0,9,9,2,Sports Science
commerce,other,2,3,226,yes,5,yes,fineart,2,9,no,3,2,no,0,yes,hardware,0,0,no,0,0,no,0,5,7,9,Sports Science
commerce,other,7,2,407,no,0,no,0,7,1,yes,6,9,no,0,yes,software,0,0,yes,nutritionist,pediatrician,no,0,6,1,3,Medicine and Nutrition
maths,other,7,4,470,no,0,no,0,1,3,no,9,8,no,0,no,0,0,0,yes,medical,dental,yes,construction,5,3,6,Marketing Management
none,female,8,9,417,yes,1,yes,tourism,3,10,no,6,10,yes,2,yes,hardware,0,0,no,0,0,yes,agriculture,5,9,1,Business/Industrial Mngmnt.
none,male,4,7,109,no,0,no,0,1,7,no,2,10,yes,6,yes,software,0,0,no,0,0,no,0,3,1,2,ARTS
bio,other,7,3,395,yes,3,no,0,9,0,yes,4,2,yes,9,yes,software,0,0,no,0,0,no,0,4,5,6,Chemical Engineering
arts,other,1,10,14,yes,3,yes,fineart,2,10,no,3,9,no,0,no,0,0,0,no,0,0,no,0,9,9,5,UPSC/GPSC etc.
commerce,other,7,9,476,yes,3,no,0,0,3,no,4,4,no,0,yes,hardware,0,0,no,0,0,yes,industrial,9,6,10,Business/Industrial Mngmnt.
commerce,female,2,5,274,yes,3,yes,music,10,4,no,5,2,no,0,yes,hardware,0,0,yes,medical,dental,yes,industrial,6,9,8,Medicine and Nutrition
maths,other,4,9,70,yes,5,no,0,8,0,yes,1,2,yes,6,no,0,0,0,yes,medical,veterinary,yes,enterprise,2,5,3,Sports Science
none,female,9,5,386,no,0,no,0,5,1,yes,1,4,yes,3,no,0,0,0,no,0,0,no,0,7,8,1,UPSC/GPSC etc.
bio,other,0,6,312,yes,3,yes,music,2,8,yes,9,4,no,0,yes,software,0,0,no,0,0,yes,agriculture,2,2,3,Business/Industrial Mngmnt.
maths,female,1,3,319,no,0,no,0,7,6,no,9,5,no,0,yes,hardware,0,0,no,0,0,yes,agriculture,10,6,8,Teaching
commerce,male,8,3,421,yes,5,no,0,1,1,no,1,6,no,0,yes,software,0,0,yes,nutritionist,dental,yes,enterprise,1,5,10,Sports Science
none,female,2,10,91,yes,1,yes,fineart,6,5,yes,2,1,yes,3,yes,hardware,0,0,yes,nutritionist,dental,yes,industrial,10,1,10,Medicine and Nutrition
commerce,other,1,9,111,yes,1,no,0,1,4,no,5,1,no,0,yes,software,0,0,no,0,0,no,0,4,9,7,CA/CS/Banking
maths,male,8,7,483,no,0,no,0,0,3,no,2,8,no,0,yes,hardware,0,0,no,0,0,no,0,9,6,6,UPSC/GPSC etc.
commerce,female,0,6,93,yes,5,yes,theatre,4,4,yes,1,4,no,0,no,0,0,0,yes,medical,orthopaedic,no,0,5,7,4,Sports Science
commerce,male,8,5,376,no,0,yes,literature,7,2,no,9,9,yes,3,no,0,0,0,no,0,0,yes,construction,9,4,2,Marketing Management
commerce,female,1,10,6,no,0,no,0,2,0,no,8,8,yes,2,yes,hardware,0,0,yes,medical,dental,yes,enterprise,2,2,3,Marketing Management
commerce,male,0,10,298,no,0,no,0,10,9,yes,1,5,no,0,no,0,0,0,yes,medical,pediatrician,yes,agriculture,8,2,1,Teaching
none,other,6,1,364,yes,3,yes,fineart,3,10,no,6,7,yes,10,no,0,0,0,yes,nutritionist,orthopaedic,yes,agriculture,3,4,5,Chemical Engineering
arts,female,9,5,455,no,0,no,0,5,8,yes,2,10,no,0,yes,software,0,0,no,0,0,yes,industrial,5,8,3,Business/Industrial Mngmnt.
maths,male,7,4,446,no,0,no,0,8,2,yes,7,3,yes,4,yes,hardware,0,0,no,0,0,yes,agriculture,2,2,7,Business/Industrial Mngmnt.
maths,male,7,5,391,no,0,no,0,8,0,no,6,8,no,0,no,0,0,0,yes,nutritionist,pediatrician,no,0,2,6,7,Medicine and Nutrition
commerce,other,10,5,461,no,0,no,0,7,0,no,10,10,yes,5,no,0,0,0,yes,nutritionist,veterinary,no,0,2,1,9,Marketing Management
none,male,2,3,100,yes,4,no,0,4,7,no,6,5,yes,2,no,0,0,0,no,0,0,no,0,7,10,3,Sports Science
none,male,7,1,344,no,0,yes,fineart,1,0,yes,3,8,yes,2,no,0,0,0,yes,medical,pediatrician,no,0,8,10,2,Medicine and Nutrition
none,other,0,2,182,no,0,yes,music,5,7,no,9,6,yes,3,yes,software,0,0,no,0,0,no,0,8,10,7,Marketing Management
none,female,10,3,352,yes,4,yes,music,4,5,no,9,4,no,0,no,0,0,0,yes,nutritionist,dental,yes,enterprise,2,4,10,Sports Science
commerce,female,10,5,399,yes,3,yes,music,2,5,yes,8,1,yes,5,yes,software,0,0,no,0,0,no,0,3,9,1,CA/CS/Banking
arts,female,2,0,57,yes,4,yes,literature,1,2,yes,7,6,no,0,yes,hardware,0,0,yes,nutritionist,orthopaedic,no,0,3,1,6,Sports Science
arts,male,10,2,464,yes,4,yes,fineart,2,9,no,9,6,yes,5,yes,software,0,0,no,0,0,yes,industrial,9,6,6,Sports Science
bio,female,4,6,184,yes,5,no,0,8,4,no,7,1,no,0,no,0,0,0,yes,medical,pediatrician,yes,enterprise,8,1,8,Sports Science
arts,male,10,5,498,yes,1,no,0,8,8,yes,5,2,no,0,yes,software,0,0,no,0,0,no,0,1,4,4,Teaching
bio,other,1,7,63,no,0,no,0,10,5,yes,5,4,yes,8,no,0,0,0,no,0,0,yes,enterprise,8,1,5,Chemical Engineering
none,female,4,9,103,yes,2,no,0,5,9,no,2,7,yes,8,yes,hardware,0,0,no,0,0,no,0,2,4,10,Chemical Engineering
none,other,9,5,457,no,0,no,0,5,7,yes,1,2,no,0,no,0,0,0,no,0,0,yes,construction,6,7,7,Business/Industrial Mngmnt.
arts,other,5,3,283,yes,5,yes,fineart,1,2,no,10,7,no,0,yes,software,0,0,yes,medical,physician,yes,construction,1,2,6,Sports Science
none,other,0,6,63,no,0,yes,literature,6,2,no,7,4,yes,9,yes,hardware,0,0,no,0,0,yes,construction,7,8,4,Chemical Engineering
commerce,female,7,9,392,yes,1,yes,music,9,9,no,6,1,no,0,yes,software,0,0,no,0,0,yes,agriculture,5,2,9,Teaching
commerce,male,9,2,480,yes,5,no,0,2,3,yes,5,8,yes,1,yes,hardware,0,0,yes,nutritionist,orthopaedic,yes,construction,4,8,8,Sports Science
bio,female,0,0,148,yes,1,yes,tourism,3,10,yes,9,3,yes,9,yes,hardware,0,0,yes,nutritionist,orthopaedic,yes,enterprise,4,6,10,Chemical Engineering
bio,other,5,8,282,no,0,yes,literature,4,2,yes,7,9,yes,7,yes,software,0,0,yes,nutritionist,veterinary,yes,industrial,8,6,4,Marketing Management
none,male,2,0,306,yes,1,no,0,3,6,yes,8,6,yes,2,no,0,0,0,no,0,0,no,0,3,3,10,Marketing Management
arts,female,7,0,399,yes,5,yes,literature,10,6,no,1,2,no,0,yes,hardware,0,0,yes,nutritionist,dental,yes,agriculture,3,6,4,Sports Science
bio,male,0,1,152,no,0,no,0,10,6,yes,8,3,no,0,no,0,0,0,yes,medical,physician,yes,agriculture,1,7,1,Teaching
maths,male,3,7,281,no,0,no,0,7,9,yes,10,3,yes,6,no,0,0,0,no,0,0,yes,construction,7,2,5,Teaching
commerce,female,9,8,412,yes,1,no,0,10,6,no,9,2,yes,1,yes,software,0,0,yes,nutritionist,orthopaedic,yes,agriculture,3,9,2,Teaching
commerce,male,1,0,220,yes,2,no,0,5,0,no,6,4,no,0,no,0,0,0,no,0,0,no,0,5,8,1,CA/CS/Banking
arts,male,8,7,438,yes,5,no,0,0,4,no,2,9,no,0,yes,hardware,0,0,no,0,0,yes,construction,7,5,3,Sports Science
arts,other,7,3,456,yes,5,yes,literature,10,6,yes,3,8,yes,7,no,0,0,0,yes,nutritionist,veterinary,no,0,7,9,4,Sports Science
arts,other,6,0,481,yes,3,no,0,6,8,yes,6,4,yes,4,no,0,0,0,no,0,0,no,0,6,4,3,UPSC/GPSC etc.
maths,other,9,4,457,yes,4,no,0,5,9,yes,1,6,yes,4,no,0,0,0,yes,nutritionist,physician,yes,construction,7,10,10,Sports Science
commerce,other,9,9,377,yes,2,no,0,2,8,no,6,7,yes,1,no,0,0,0,no,0,0,yes,enterprise,6,6,6,Business/Industrial Mngmnt.
commerce,female,8,0,489,yes,4,yes,music,7,8,yes,6,7,yes,2,no,0,0,0,yes,medical,orthopaedic,yes,construction,10,7,2,Sports Science
arts,other,4,9,39,no,0,no,0,3,5,yes,4,2,yes,7,no,0,0,0,yes,medical,pediatrician,no,0,7,4,6,Chemical Engineering
bio,female,0,3,92,no,0,no,0,6,4,no,6,4,yes,9,no,0,0,0,no,0,0,no,0,4,4,9,Chemical Engineering
commerce,other,5,4,29,no,0,yes,tourism,5,4,no,1,4,no,0,yes,hardware,0,0,no,0,0,yes,enterprise,1,3,8,Business/Industrial Mngmnt.
commerce,male,3,8,96,yes,3,no,0,5,10,no,1,6,no,0,no,0,0,0,no,0,0,no,0,8,3,2,UPSC/GPSC etc.
bio,female,9,0,402,no,0,no,0,4,9,no,4,2,no,0,no,0,0,0,no,0,0,no,0,5,10,10,CA/CS/Banking
arts,male,3,3,61,yes,1,no,0,4,3,no,2,2,yes,1,yes,software,0,0,no,0,0,no,0,4,9,7,CA/CS/Banking
maths,male,2,1,197,yes,1,yes,music,6,10,yes,6,6,no,0,yes,hardware,0,0,yes,nutritionist,pediatrician,yes,agriculture,5,9,1,Medicine and Nutrition
commerce,other,8,7,481,no,0,no,0,9,3,yes,2,8,yes,4,no,0,0,0,yes,medical,orthopaedic,no,0,9,4,3,Medicine and Nutrition
commerce,other,10,6,499,no,0,no,0,5,8,yes,4,1,no,0,yes,hardware,0,0,no,0,0,yes,enterprise,7,10,9,Business/Industrial Mngmnt.
arts,other,1,8,44,no,0,yes,music,2,7,no,3,10,yes,9,no,0,0,0,no,0,0,yes,construction,8,5,7,Chemical Engineering
maths,male,1,8,302,no,0,yes,literature,0,3,no,10,2,no,0,yes,software,0,0,no,0,0,no,0,6,7,4,UPSC/GPSC etc.
maths,other,9,4,411,yes,5,yes,theatre,9,0,no,2,3,no,0,no,0,0,0,no,0,0,yes,construction,9,1,7,Sports Science
maths,other,8,2,468,no,0,yes,theatre,10,2,no,6,9,no,0,no,0,0,0,no,0,0,no,0,1,10,5,Theatre & Tourism
arts,female,6,7,361,no,0,no,0,0,8,no,9,10,no,0,no,0,0,0,yes,medical,dental,yes,construction,1,9,9,Marketing Management
commerce,other,10,8,401,no,0,no,0,0,7,yes,8,3,no,0,yes,hardware,0,0,no,0,0,no,0,6,7,5,UPSC/GPSC etc.
none,female,10,8,434,yes,1,yes,tourism,6,6,no,1,3,no,0,no,0,0,0,no,0,0,yes,construction,10,5,9,Business/Industrial Mngmnt.
arts,other,0,1,301,yes,3,no,0,9,7,no,8,3,no,0,yes,hardware,0,0,no,0,0,yes,enterprise,3,7,7,Teaching
commerce,female,9,4,456,yes,1,no,0,9,4,no,1,9,no,0,yes,hardware,0,0,no,0,0,yes,industrial,5,6,1,Business/Industrial Mngmnt.
arts,other,6,0,453,no,0,yes,fineart,9,2,no,5,2,yes,7,no,0,0,0,no,0,0,yes,enterprise,5,1,8,Chemical Engineering
commerce,male,6,5,441,yes,1,yes,literature,10,0,yes,1,2,no,0,yes,hardware,0,0,no,0,0,yes,agriculture,3,2,3,Business/Industrial Mngmnt.
none,male,2,10,303,yes,1,no,0,0,2,no,4,8,yes,1,yes,hardware,0,0,no,0,0,no,0,6,2,2,UPSC/GPSC etc.
arts,other,9,7,499,yes,4,no,0,5,9,yes,8,5,no,0,yes,software,0,0,no,0,0,no,0,8,8,1,Sports Science
maths,other,1,5,256,no,0,yes,theatre,0,6,yes,10,10,yes,4,yes,hardware,0,0,no,0,0,yes,agriculture,4,9,7,Theatre & Tourism
none,male,0,1,117,yes,5,yes,tourism,6,8,no,4,6,no,0,no,0,0,0,yes,medical,veterinary,no,0,8,10,7,Sports Science
bio,other,0,9,214,no,0,no,0,10,0,yes,6,2,yes,4,no,0,0,0,yes,nutritionist,orthopaedic,yes,construction,2,9,5,Medicine and Nutrition
bio,male,4,9,106,no,0,yes,fineart,9,10,yes,6,3,yes,10,yes,software,0,0,no,0,0,yes,industrial,7,9,10,Teaching
commerce,male,3,4,135,no,0,no,0,3,5,yes,5,5,no,0,yes,hardware,0,0,no,0,0,no,0,6,9,5,UPSC/GPSC etc.
arts,other,6,2,455,yes,4,no,0,8,0,no,2,4,no,0,yes,software,0,0,yes,medical,orthopaedic,no,0,1,4,1,Sports Science
arts,female,7,7,448,no,0,yes,music,9,5,no,10,3,yes,7,no,0,0,0,yes,medical,dental,yes,construction,7,8,5,Chemical Engineering
arts,female,7,8,403,yes,3,yes,music,10,2,yes,7,8,no,0,no,0,0,0,yes,medical,dental,no,0,10,8,4,Marketing Management
maths,male,7,9,360,no,0,yes,theatre,7,6,yes,1,3,no,0,no,0,0,0,yes,nutritionist,pediatrician,yes,agriculture,5,6,5,Theatre & Tourism
none,female,6,5,424,no,0,no,0,8,10,yes,8,7,no,0,no,0,0,0,no,0,0,yes,agriculture,10,10,7,Teaching
none,male,10,7,337,no,0,no,0,7,0,no,9,9,yes,5,yes,hardware,0,0,yes,nutritionist,dental,no,0,2,1,4,Marketing Management
bio,male,6,10,495,yes,2,no,0,5,3,no,3,6,yes,5,yes,hardware,0,0,yes,medical,physician,no,0,7,9,1,Medicine and Nutrition
maths,male,6,3,349,no,0,yes,music,8,3,no,5,2,yes,2,no,0,0,0,no,0,0,yes,agriculture,3,2,2,Business/Industrial Mngmnt.
maths,other,1,3,35,yes,1,yes,theatre,5,3,yes,3,6,yes,5,yes,hardware,0,0,yes,nutritionist,veterinary,no,0,4,1,7,Theatre & Tourism
bio,other,1,0,250,yes,2,yes,literature,4,7,no,9,5,no,0,no,0,0,0,yes,medical,pediatrician,no,0,1,5,4,Medicine and Nutrition
arts,male,4,2,238,no,0,no,0,8,0,yes,5,5,yes,4,no,0,0,0,yes,nutritionist,pediatrician,yes,construction,4,10,10,Medicine and Nutrition
none,female,8,8,482,yes,5,no,0,8,10,yes,7,4,yes,2,no,0,0,0,yes,medical,orthopaedic,no,0,9,9,1,Sports Science
commerce,other,0,2,71,no,0,no,0,7,7,no,10,7,no,0,yes,hardware,0,0,yes,nutritionist,dental,no,0,3,3,10,Teaching
commerce,female,9,5,342,yes,4,no,0,7,4,yes,7,7,no,0,no,0,0,0,no,0,0,yes,enterprise,4,1,6,Sports Science
arts,female,1,7,221,no,0,yes,fineart,7,1,no,2,10,no,0,yes,hardware,0,0,yes,nutritionist,pediatrician,no,0,8,6,7,Medicine and Nutrition
arts,male,3,1,309,no,0,yes,music,5,3,no,7,1,yes,3,yes,hardware,0,0,no,0,0,yes,construction,3,3,3,Business/Industrial Mngmnt.
none,female,7,1,480,no,0,yes,fineart,9,1,no,10,7,yes,2,yes,software,0,0,yes,nutritionist,veterinary,no,0,6,3,8,Marketing Management
none,female,0,2,277,yes,4,yes,music,3,9,no,2,3,no,0,no,0,0,0,no,0,0,no,0,7,1,2,Sports Science
maths,male,8,3,338,no,0,no,0,6,9,yes,7,2,no,0,yes,hardware,0,0,no,0,0,yes,enterprise,10,3,8,Business/Industrial Mngmnt.
maths,female,1,4,155,no,0,no,0,0,6,yes,5,2,no,0,no,0,0,0,yes,nutritionist,orthopaedic,no,0,6,6,7,Medicine and Nutrition
arts,other,1,2,23,no,0,yes,fineart,8,9,no,5,7,no,0,no,0,0,0,yes,medical,orthopaedic,yes,construction,1,1,5,Teaching
none,male,4,5,264,yes,2,yes,theatre,0,4,no,9,7,yes,1,yes,hardware,0,0,no,0,0,no,0,3,7,10,Theatre & Tourism
maths,male,2,4,17,no,0,yes,theatre,2,2,yes,2,10,no,0,no,0,0,0,no,0,0,yes,agriculture,8,3,9,Theatre & Tourism
arts,female,7,1,463,yes,1,yes,literature,2,10,no,10,1,no,0,yes,hardware,0,0,yes,nutritionist,physician,no,0,7,9,8,Medicine and Nutrition
arts,female,1,8,149,yes,4,yes,tourism,0,6,no,2,9,no,0,yes,hardware,0,0,yes,nutritionist,orthopaedic,yes,industrial,6,7,4,Sports Science
arts,female,7,2,465,no,0,no,0,2,7,no,5,7,yes,9,no,0,0,0,yes,medical,dental,no,0,3,8,9,Chemical Engineering
maths,female,7,10,429,no,0,yes,tourism,4,10,no,4,1,no,0,no,0,0,0,no,0,0,yes,construction,4,7,2,Business/Industrial Mngmnt.
none,male,1,8,1,yes,4,yes,literature,3,4,yes,8,2,yes,9,no,0,0,0,yes,medical,physician,no,0,8,9,10,Sports Science
commerce,male,7,5,468,no,0,no,0,6,6,no,8,9,no,0,no,0,0,0,no,0,0,no,0,1,8,8,Marketing Management
maths,male,5,7,278,yes,2,no,0,9,3,no,10,2,yes,8,no,0,0,0,yes,nutritionist,physician,no,0,7,6,7,Chemical Engineering
arts,other,8,2,458,yes,4,no,0,5,7,yes,3,1,no,0,yes,hardware,0,0,no,0,0,yes,enterprise,9,1,4,Sports Science
maths,other,10,2,475,yes,5,no,0,0,8,no,5,3,yes,7,yes,software,0,0,no,0,0,no,0,9,2,2,Sports Science
arts,female,5,5,13,no,0,no,0,10,9,yes,2,1,yes,4,no,0,0,0,no,0,0,yes,enterprise,3,3,6,Teaching
arts,other,2,2,75,yes,5,yes,music,4,7,yes,6,7,no,0,yes,software,0,0,yes,medical,dental,no,0,1,6,3,Sports Science
bio,other,2,9,195,no,0,no,0,10,10,no,9,5,no,0,no,0,0,0,no,0,0,yes,agriculture,3,8,4,Teaching
maths,female,3,10,297,yes,5,no,0,0,8,yes,9,7,yes,3,yes,software,0,0,yes,medical,veterinary,no,0,6,7,2,Sports Science
none,female,4,4,304,no,0,no,0,2,4,yes,6,4,yes,4,no,0,0,0,no,0,0,no,0,1,7,5,CA/CS/Banking
commerce,male,5,10,221,no,0,no,0,10,10,yes,9,7,yes,2,no,0,0,0,no,0,0,no,0,5,1,8,Teaching
maths,female,5,0,13,no,0,no,0,4,6,yes,7,6,no,0,no,0,0,0,yes,medical,physician,yes,industrial,1,8,2,Marketing Management
bio,male,9,8,478,no,0,no,0,2,2,no,5,8,no,0,no,0,0,0,no,0,0,yes,agriculture,1,4,3,Business/Industrial Mngmnt.
maths,other,5,10,231,no,0,no,0,9,7,yes,3,8,no,0,no,0,0,0,no,0,0,no,0,6,1,5,Teaching
maths,female,2,10,53,no,0,yes,tourism,2,1,yes,8,1,no,0,yes,software,0,0,yes,medical,orthopaedic,yes,industrial,10,2,4,Medicine and Nutrition
commerce,male,2,8,255,no,0,no,0,7,9,no,3,5,no,0,no,0,0,0,yes,medical,dental,no,0,1,1,10,Teaching
arts,other,8,5,374,no,0,yes,theatre,3,10,yes,7,7,no,0,no,0,0,0,yes,medical,physician,no,0,10,5,2,Theatre & Tourism
maths,female,0,6,63,yes,1,yes,fineart,3,10,no,3,4,yes,2,no,0,0,0,no,0,0,yes,enterprise,2,8,10,Business/Industrial Mngmnt.
arts,other,1,3,53,no,0,yes,literature,5,8,no,4,4,yes,8,no,0,0,0,no,0,0,no,0,3,1,5,Chemical Engineering
bio,male,7,2,343,no,0,yes,literature,7,5,no,6,2,no,0,no,0,0,0,yes,medical,dental,no,0,7,6,10,Medicine and Nutrition
none,male,4,8,154,yes,1,yes,music,5,5,no,3,10,no,0,yes,software,0,0,no,0,0,no,0,9,1,6,UPSC/GPSC etc.
none,other,6,3,420,no,0,yes,theatre,1,3,yes,1,8,yes,10,yes,hardware,0,0,no,0,0,no,0,1,2,3,Theatre & Tourism
arts,other,9,5,493,yes,4,yes,tourism,10,10,yes,4,6,yes,8,no,0,0,0,yes,medical,physician,yes,construction,4,4,5,Sports Science
commerce,male,5,8,148,yes,3,no,0,8,7,yes,8,6,no,0,yes,software,0,0,yes,medical,pediatrician,no,0,2,8,6,Teaching
none,other,6,2,434,no,0,no,0,2,9,yes,8,3,no,0,yes,software,0,0,no,0,0,yes,agriculture,10,3,6,Business/Industrial Mngmnt.
arts,other,10,4,399,no,0,no,0,0,6,no,8,1,yes,3,yes,hardware,0,0,yes,medical,physician,yes,construction,10,2,10,Medicine and Nutrition
none,female,9,1,380,yes,2,no,0,10,6,no,9,5,no,0,yes,software,0,0,no,0,0,yes,agriculture,8,4,2,Teaching
arts,other,9,5,385,no,0,no,0,8,6,yes,8,6,yes,3,yes,software,0,0,no,0,0,no,0,6,7,2,Teaching
maths,male,2,3,227,no,0,yes,music,7,9,yes,6,4,yes,3,yes,hardware,0,0,yes,medical,physician,no,0,5,4,7,Teaching
none,female,3,0,284,no,0,no,0,5,6,no,4,1,yes,4,yes,hardware,0,0,yes,medical,dental,no,0,8,7,4,Medicine and Nutrition
bio,other,0,3,2,yes,5,yes,theatre,3,8,yes,1,2,yes,2,yes,hardware,0,0,no,0,0,no,0,9,3,2,Sports Science
commerce,other,4,6,98,yes,1,no,0,2,3,yes,9,8,yes,1,yes,hardware,0,0,yes,nutritionist,physician,no,0,4,8,1,Marketing Management
maths,female,5,1,168,yes,5,no,0,8,6,no,2,6,no,0,yes,software,0,0,no,0,0,no,0,8,9,8,Sports Science
arts,male,4,7,139,yes,5,yes,literature,6,1,yes,3,4,yes,8,yes,software,0,0,yes,medical,physician,no,0,8,6,10,Sports Science
maths,female,10,5,498,no,0,yes,tourism,2,4,yes,10,1,yes,6,yes,software,0,0,no,0,0,no,0,2,6,1,CA/CS/Banking
maths,male,2,7,74,no,0,yes,theatre,8,8,yes,10,1,yes,1,no,0,0,0,no,0,0,no,0,8,5,2,Theatre & Tourism
bio,male,6,7,380,no,0,no,0,4,10,no,10,9,no,0,yes,hardware,0,0,no,0,0,yes,industrial,8,10,9,Marketing Management
none,female,10,1,435,no,0,yes,theatre,3,7,no,5,1,no,0,no,0,0,0,no,0,0,yes,construction,7,6,4,Theatre & Tourism
maths,male,1,1,270,yes,1,yes,fineart,3,1,yes,8,9,yes,7,no,0,0,0,no,0,0,yes,construction,2,1,9,Marketing Management
none,female,6,10,331,yes,3,yes,theatre,6,6,yes,10,6,yes,1,yes,hardware,0,0,no,0,0,yes,agriculture,3,3,5,Theatre & Tourism
commerce,other,0,7,31,no,0,yes,theatre,8,2,no,1,1,no,0,no,0,0,0,yes,nutritionist,pediatrician,no,0,1,10,2,Theatre & Tourism
bio,other,9,1,387,yes,5,yes,tourism,1,3,no,3,4,yes,8,yes,hardware,0,0,yes,nutritionist,pediatrician,no,0,6,5,7,Sports Science
none,female,8,9,439,yes,4,no,0,1,4,yes,3,5,yes,4,no,0,0,0,no,0,0,yes,enterprise,9,5,6,Sports Science
maths,female,0,8,250,no,0,no,0,10,1,no,5,3,no,0,no,0,0,0,yes,nutritionist,physician,no,0,8,5,4,Medicine and Nutrition
